210949737 function calls (208232742 primitive calls) in 417.518 seconds

   Ordered by: cumulative time
   List reduced from 2238 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.167    0.167  418.576  418.576 C:\Users\davii\OneDrive\Skrivbord\Project_HPC\artificialneuralnetwork.py:223(main)
        1    0.000    0.000  411.325  411.325 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_optimize.py:1491(fmin_cg)
        1    0.022    0.022  411.325  411.325 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_optimize.py:1674(_minimize_cg)
      600    0.017    0.000  270.179    0.450 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_optimize.py:1118(_line_search_wolfe12)
      600    0.008    0.000  269.835    0.450 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_linesearch.py:38(line_search_wolfe1)
      600    0.007    0.000  269.826    0.450 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_linesearch.py:101(scalar_search_wolfe1)
      600    0.022    0.000  269.814    0.450 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_dcsrch.py:201(__call__)
     1110    0.003    0.000  250.993    0.226 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:265(_update_grad)
     1108    0.004    0.000  250.991    0.227 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:174(update_grad)
     1108    0.013    0.000  250.987    0.227 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:170(grad_wrapped)
     1108  141.534    0.128  250.962    0.227 C:\Users\davii\OneDrive\Skrivbord\Project_HPC\artificialneuralnetwork.py:99(gradient)
     1109    0.005    0.000  250.838    0.226 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_differentiable_functions.py:281(grad)
     1106    0.047    0.000  250.637    0.227 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\optimize\_linesearch.py:87(derphi)
      600    0.001    0.000  140.914    0.235 C:\Users\davii\AppData\Roaming\Python\Python39\site-packages\scipy\_lib\_util.py:830(_call_callback_maybe_halt)
